x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
3.075,0.0,4.0,2.6645352591e-15,4.0,0.0,4.0,2.6645352591e-15,4.0,0.0,4.0
3.125,0.0,4.0,7.54951656745e-15,4.0,0.0,4.0,7.54951656745e-15,4.0,0.0,4.0
3.175,0.0,4.0,1.88737914186e-14,4.0,0.0,4.0,1.88737914186e-14,4.0,0.0,4.0
3.225,0.0,4.0,4.70734562441e-14,4.0,0.0,4.0,4.70734562441e-14,4.0,0.0,4.0
3.275,0.0,4.0,1.14408482688e-13,4.0,0.0,4.0,1.14408482688e-13,4.0,0.0,4.0
3.325,0.0,4.0,2.73947531326e-13,4.0,0.0,4.0,2.73947531326e-13,4.0,0.0,4.0
3.375,0.0,4.0,6.45927755727e-13,4.0,0.0,4.0,6.45927755727e-13,4.0,0.0,4.0
3.425,0.0,4.0,1.50435219837e-12,4.0,0.0,4.0,1.50435219837e-12,4.0,0.0,4.0
3.475,0.0,4.0,3.45878881092e-12,4.0,0.0,4.0,3.45878881092e-12,4.0,0.0,4.0
3.525,0.0,4.0,7.84805553878e-12,3.99999999999,0.0,4.0,7.84805553878e-12,3.99999999999,0.0,4.0
3.575,0.0,4.0,1.75749970133e-11,3.99999999999,0.0,4.0,1.75749970133e-11,3.99999999999,0.0,4.0
3.625,0.0,4.0,3.88459819869e-11,3.99999999998,0.0,4.0,3.88459819869e-11,3.99999999998,0.0,4.0
3.675,0.0,4.0,8.47421022255e-11,3.99999999995,0.0,4.0,8.47421022255e-11,3.99999999995,0.0,4.0
3.725,0.0,4.0,1.82449555469e-10,3.99999999988,0.0,4.0,1.82449555469e-10,3.99999999988,0.0,4.0
3.775,0.0,4.0,3.87671283987e-10,3.99999999975,0.0,4.0,3.87671283987e-10,3.99999999975,0.0,4.0
3.825,0.0,4.0,8.12923062304e-10,3.99999999948,0.0,4.0,8.12923062304e-10,3.99999999948,0.0,4.0
3.875,0.0,4.0,1.68223268694e-09,3.99999999893,0.0,4.0,1.68223268694e-09,3.99999999893,0.0,4.0
3.925,0.0,4.0,3.43524631152e-09,3.99999999781,0.0,4.0,3.43524631152e-09,3.99999999781,0.0,4.0
3.975,0.0,4.0,6.92228258813e-09,3.99999999558,0.0,4.0,6.92228258813e-09,3.99999999558,0.0,4.0
4.025,0.0,4.0,1.3763977377e-08,3.99999999121,0.0,4.0,1.3763977377e-08,3.99999999121,0.0,4.0
4.075,0.0,4.0,2.70037925963e-08,3.99999998276,0.0,4.0,2.70037925963e-08,3.99999998276,0.0,4.0
4.125,0.0,4.0,5.22726142292e-08,3.99999996662,0.0,4.0,5.22726142292e-08,3.99999996662,0.0,4.0
4.175,0.0,4.0,9.98330205538e-08,3.99999993625,0.0,4.0,9.98330205538e-08,3.99999993625,0.0,4.0
4.225,0.0,4.0,1.88107483354e-07,3.99999987988,0.0,4.0,1.88107483354e-07,3.99999987988,0.0,4.0
