x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
5.475,0,4,0,4,0,4,0,4,0,4
5.525,0,4,0,4,0,4,0,4,0,4
5.575,0,4,0,4,0,4,0,4,0,4
5.625,0,4,0,4,0,4,0,4,0,4
5.675,0,4,0,4,0,4,0,4,0,4
5.725,0,4,0,4,0,4,0,4,0,4
5.775,0,4,0,4,0,4,0,4,0,4
5.825,0,4,0,4,0,4,0,4,0,4
5.875,0,4,0,4,0,4,0,4,0,4
5.925,0,4,0,4,0,4,0,4,0,4
5.975,0,4,0,4,0,4,0,4,0,4
6.025,0,4,0,4,0,4,0,4,0,4
6.075,0,4,0,4,0,4,0,4,0,4
6.125,0,4,0,4,0,4,0,4,0,4
6.175,0,4,0,4,0,4,0,4,0,4
6.225,0,4,0,4,0,4,0,4,0,4
6.275,0,4,0,4,0,4,0,4,0,4
6.325,0,4,0,4,0,4,0,4,0,4
6.375,0,4,0,4,0,4,0,4,0,4
6.425,0,4,0,4,0,4,0,4,0,4
6.475,0,4,0,4,0,4,0,4,0,4
6.525,0,4,0,4,0,4,0,4,0,4
6.575,0,4,0,4,0,4,0,4,0,4
6.625,0,4,0,4,0,4,0,4,0,4
6.675,0,4,0,4,0,4,0,4,0,4
6.725,0,4,0,4,0,4,0,4,0,4
6.775,0,4,0,4,0,4,0,4,0,4
6.825,0,4,0,4,0,4,0,4,0,4
6.875,0,4,0,4,0,4,0,4,0,4
6.925,0,4,0,4,0,4,0,4,0,4
6.975,0,4,0,4,0,4,0,4,0,4
7.025,0,4,0,4,0,4,0,4,0,4
7.075,0,4,0,4,0,4,0,4,0,4
7.125,0,4,0,4,0,4,0,4,0,4
7.175,0,4,0,4,0,4,0,4,0,4
7.225,0,4,0,4,0,4,0,4,0,4
7.275,0,4,0,4,0,4,0,4,0,4
7.325,0,4,0,4,0,4,0,4,0,4
7.375,0,4,0,4,0,4,0,4,0,4
7.425,0,4,0,4,0,4,0,4,0,4
7.475,0,4,0,4,0,4,0,4,0,4
7.525,0,4,0,4,0,4,0,4,0,4
7.575,0,4,0,4,0,4,0,4,0,4
7.625,0,4,0,4,0,4,0,4,0,4
7.675,0,4,0,4,0,4,0,4,0,4
7.725,0,4,0,4,0,4,0,4,0,4
7.775,0,4,0,4,0,4,0,4,0,4
7.825,0,4,0,4,0,4,0,4,0,4
7.875,0,4,0,4,0,4,0,4,0,4
7.925,0,4,0,4,0,4,0,4,0,4
7.975,0,4,0,4,0,4,0,4,0,4
8.025,0,4,0,4,0,4,0,4,0,4
8.075,0,4,0,4,0,4,0,4,0,4
8.125,0,4,0,4,0,4,0,4,0,4
8.175,0,4,0,4,0,4,0,4,0,4
8.225,0,4,0,4,0,4,0,4,0,4
8.275,0,4,0,4,0,4,0,4,0,4
8.325,0,4,0,4,0,4,0,4,0,4
8.375,0,4,0,4,0,4,0,4,0,4
8.425,0,4,0,4,0,4,0,4,0,4
8.475,0,4,0,4,0,4,0,4,0,4
8.525,0,4,0,4,0,4,0,4,0,4
8.575,0,4,0,4,0,4,0,4,0,4
8.625,0,4,0,4,0,4,0,4,0,4
8.675,0,4,0,4,0,4,0,4,0,4
8.725,0,4,0,4,0,4,0,4,0,4
8.775,0,4,0,4,0,4,0,4,0,4
8.825,0,4,0,4,0,4,0,4,0,4
8.875,0,4,0,4,0,4,0,4,0,4
8.925,0,4,0,4,0,4,0,4,0,4
8.975,0,4,0,4,0,4,0,4,0,4
9.025,0,4,0,4,0,4,0,4,0,4
9.075,0,4,0,4,0,4,0,4,0,4
9.125,0,4,0,4,0,4,0,4,0,4
9.175,0,4,0,4,0,4,0,4,0,4
9.225,0,4,0,4,0,4,0,4,0,4
9.275,0,4,0,4,0,4,0,4,0,4
9.325,0,4,0,4,0,4,0,4,0,4
9.375,0,4,0,4,0,4,0,4,0,4
9.425,0,4,0,4,0,4,0,4,0,4
9.475,0,4,0,4,0,4,0,4,0,4
9.525,0,4,0,4,0,4,0,4,0,4
9.575,0,4,0,4,0,4,0,4,0,4
9.625,0,4,0,4,0,4,0,4,0,4
9.675,0,4,0,4,0,4,0,4,0,4
9.725,0,4,0,4,0,4,0,4,0,4
9.775,0,4,0,4,0,4,0,4,0,4
9.825,0,4,0,4,0,4,0,4,0,4
9.875,0,4,0,4,0,4,0,4,0,4
9.925,0,4,0,4,0,4,0,4,0,4
9.975,0,4,0,4,0,4,0,4,0,4
10.025,0,1,0,1,0,1,0,1,0,1
10.075,0,1,0,1,0,1,0,1,0,1
10.125,0,1,0,1,0,1,0,1,0,1
10.175,0,1,0,1,0,1,0,1,0,1
10.225,0,1,0,1,0,1,0,1,0,1
10.275,0,1,0,1,0,1,0,1,0,1
10.325,0,1,0,1,0,1,0,1,0,1
10.375,0,1,0,1,0,1,0,1,0,1
10.425,0,1,0,1,0,1,0,1,0,1
10.475,0,1,0,1,0,1,0,1,0,1
10.525,0,1,0,1,0,1,0,1,0,1
10.575,0,1,0,1,0,1,0,1,0,1
10.625,0,1,0,1,0,1,0,1,0,1
10.675,0,1,0,1,0,1,0,1,0,1
10.725,0,1,0,1,0,1,0,1,0,1
10.775,0,1,0,1,0,1,0,1,0,1
10.825,0,1,0,1,0,1,0,1,0,1
10.875,0,1,0,1,0,1,0,1,0,1
10.925,0,1,0,1,0,1,0,1,0,1
10.975,0,1,0,1,0,1,0,1,0,1
11.025,0,1,0,1,0,1,0,1,0,1
11.075,0,1,0,1,0,1,0,1,0,1
11.125,0,1,0,1,0,1,0,1,0,1
11.175,0,1,0,1,0,1,0,1,0,1
11.225,0,1,0,1,0,1,0,1,0,1
11.275,0,1,0,1,0,1,0,1,0,1
11.325,0,1,0,1,0,1,0,1,0,1
11.375,0,1,0,1,0,1,0,1,0,1
11.425,0,1,0,1,0,1,0,1,0,1
11.475,0,1,0,1,0,1,0,1,0,1
11.525,0,1,0,1,0,1,0,1,0,1
11.575,0,1,0,1,0,1,0,1,0,1
11.625,0,1,0,1,0,1,0,1,0,1
11.675,0,1,0,1,0,1,0,1,0,1
11.725,0,1,0,1,0,1,0,1,0,1
11.775,0,1,0,1,0,1,0,1,0,1
11.825,0,1,0,1,0,1,0,1,0,1
11.875,0,1,0,1,0,1,0,1,0,1
11.925,0,1,0,1,0,1,0,1,0,1
11.975,0,1,0,1,0,1,0,1,0,1
12.025,0,1,0,1,0,1,0,1,0,1
12.075,0,1,0,1,0,1,0,1,0,1
12.125,0,1,0,1,0,1,0,1,0,1
12.175,0,1,0,1,0,1,0,1,0,1
12.225,0,1,0,1,0,1,0,1,0,1
12.275,0,1,0,1,0,1,0,1,0,1
12.325,0,1,0,1,0,1,0,1,0,1
12.375,0,1,0,1,0,1,0,1,0,1
12.425,0,1,0,1,0,1,0,1,0,1
12.475,0,1,0,1,0,1,0,1,0,1
12.525,0,1,0,1,0,1,0,1,0,1
