x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
8.475,0.7872337146755797,3.5131047365071026,0.866384608819,3.46424996081,0.83187496031,3.48788963325,0.866384608819,3.46424996081,0.83187496031,3.48788963325
8.525,0.8983448257866797,3.4469274880052225,0.950601140022,3.41415737973,0.943390023086,3.41959963816,0.950601140022,3.41415737973,0.943390023086,3.41959963816
8.575,1.0094559368977762,3.3813794790044867,1.03715452578,3.3630489494,1.05599546249,3.35450234295,1.03715452578,3.3630489494,1.05599546249,3.35450234295
8.625,1.1205670480088763,3.316460709504888,1.12581991815,3.31108752373,1.16742001163,3.29086035907,1.12581991815,3.31108752373,1.16742001163,3.29086035907
8.675,1.2316781591199764,3.2521711795064228,1.21639408375,3.2584201171,1.27535451489,3.22672389445,1.21639408375,3.2584201171,1.27535451489,3.22672389445
8.725,1.3427892702310729,3.1885108890091054,1.30869452084,3.20517867911,1.38435579053,3.16463692205,1.30869452084,3.20517867911,1.38435579053,3.16463692205
8.775,1.4539003813421765,3.125479838012918,1.40255820184,3.15148111187,1.49408514889,3.10445166506,1.40255820184,3.15148111187,1.49408514889,3.10445166506
8.825,1.565011492453273,3.0630780265178785,1.49784011765,3.09743240847,1.60160524452,3.04362400471,1.49784011765,3.09743240847,1.60160524452,3.04362400471
8.875,1.676122603564373,3.0013054545239726,1.59441175069,3.04312582602,1.70751106503,2.98315755816,1.59441175069,3.04312582602,1.70751106503,2.98315755816
8.925,1.787233714675473,2.9401621220312038,1.6921595645,2.98864403487,1.81604296724,2.92492744841,1.6921595645,2.98864403487,1.81604296724,2.92492744841
8.975,1.8983448257865696,2.879648029039579,1.79098356835,2.93406020577,1.9245332272,2.86764004456,1.79098356835,2.93406020577,1.9245332272,2.86764004456
9.025,2.0094559368976697,2.819763175549088,1.89079599445,2.87943901219,2.03015554415,2.80919280344,1.89079599445,2.87943901219,2.03015554415,2.80919280344
9.075,2.120567048008766,2.7605075615597414,1.99152011103,2.82483753467,2.13538081975,2.7515797441,1.99152011103,2.82483753467,2.13538081975,2.7515797441
9.125,2.2316781591198662,2.7018811870715282,2.09308918573,2.77030606122,2.24372240219,2.69634314696,2.09308918573,2.77030606122,2.24372240219,2.69634314696
9.175,2.3427892702309663,2.643884052084452,2.19544560978,2.71588878075,2.35197564709,2.64178872922,2.19544560978,2.71588878075,2.35197564709,2.64178872922
9.225,2.453900381342063,2.5865161565985275,2.29854019285,2.66162436813,2.45686560745,2.58588471772,2.29854019285,2.66162436813,2.45686560745,2.58588471772
9.275,2.5650114924531664,2.5297775006137257,2.40233164259,2.60754645832,2.56079106713,2.53056941069,2.40233164259,2.60754645832,2.56079106713,2.53056941069
9.325,2.676122603564263,2.4736680841300753,2.50678625095,2.55368400383,2.66828911865,2.47757970581,2.50678625095,2.55368400383,2.66828911865,2.47757970581
9.375,2.787233714675363,2.418187907147562,2.61187782363,2.50006150401,2.77720185749,2.42619789513,2.61187782363,2.50006150401,2.77720185749,2.42619789513
9.425,2.898344825786463,2.363336969666179,2.71758791264,2.44669908472,2.88287023134,2.37332988144,2.71758791264,2.44669908472,2.88287023134,2.37332988144
9.475,3.0094559368975595,2.3091152716859398,2.82390644996,2.39361239109,2.9855700726,2.32001130879,2.82390644996,2.39361239109,2.9855700726,2.32001130879
9.525,3.1205670480086596,2.255522813206845,2.93083294426,2.34081222971,3.09057663648,2.26829441033,2.93083294426,2.34081222971,3.09057663648,2.26829441033
9.575,3.231678159119756,2.2025595942288874,3.03837851237,2.28830385074,3.19974964253,2.21934695108,3.03837851237,2.28830385074,3.19974964253,2.21934695108
9.625,3.342789270230856,2.1502256147520598,3.14656921551,2.236085679,3.30835807119,2.17026942133,3.14656921551,2.236085679,3.30835807119,2.17026942133
9.675,3.453900381341956,2.0985208747763764,3.25545154427,2.18414714818,3.41221043585,2.1194011446,3.25545154427,2.18414714818,3.41221043585,2.1194011446
9.725,3.5650114924530527,2.0474453743018373,3.36510164687,2.13246498227,3.51557902486,2.06889967687,3.36510164687,2.13246498227,3.51557902486,2.06889967687
9.775,3.6761226035641563,1.9969991133284317,3.47564151146,2.08099659962,3.62229294835,2.01996801329,3.47564151146,2.08099659962,3.62229294835,2.01996801329
9.825,3.787233714675253,1.9471820918561633,3.58726911163,2.02966774139,3.73417550429,1.97346534694,3.58726911163,2.02966774139,3.73417550429,1.97346534694
9.875,3.898344825786353,1.8979943098850356,3.70031951822,1.97834727929,3.84485811124,1.92557885218,3.70031951822,1.97834727929,3.84485811124,1.92557885218
9.925,4.009455936897453,1.849435767415045,3.81540453326,1.92678946157,3.95295453143,1.87534143848,3.81540453326,1.92678946157,3.95295453143,1.87534143848
9.975,4.1205670480085494,1.8015064644462022,3.93379413555,1.87447568724,4.06461553523,1.82466941138,3.93379413555,1.87447568724,4.06461553523,1.82466941138
10.025,4.2316781591196495,1.754206400978486,4.05882028081,1.82003050345,4.18012537513,1.77564498341,4.05882028081,1.82003050345,4.18012537513,1.77564498341
10.075,4.342789270230746,1.7075355770119174,4.20579335387,1.75710727885,4.28909102949,1.7301617246,4.20579335387,1.75710727885,4.28909102949,1.7301617246
10.125,4.453900381341846,1.6614939925464824,4.40131015473,1.6751243997,4.39961561341,1.68486577276,4.40131015473,1.6751243997,4.39961561341,1.68486577276
10.175,4.565011492452946,1.6160816475821917,4.53371503007,1.62062813849,4.51060659374,1.63954187942,4.53371503007,1.62062813849,4.51060659374,1.63954187942
10.225,4.676122603564043,1.571298542119031,4.65511015396,1.5714104876,4.62069075541,1.59446919907,4.65511015396,1.5714104876,4.62069075541,1.59446919907
10.275,4.787233714675146,1.5271446761570147,4.77125937943,1.52499238421,4.72935599795,1.54994594125,4.77125937943,1.52499238421,4.72935599795,1.54994594125
10.325,4.898344825786243,1.4836200496961425,4.88423496832,1.48047474027,4.83904051345,1.50561608339,4.88423496832,1.48047474027,4.83904051345,1.50561608339
10.375,5.009455936897343,1.4407246627364074,4.99504193126,1.43741731918,4.95161117435,1.46155350306,4.99504193126,1.43741731918,4.95161117435,1.46155350306
10.425,5.120567048008443,1.3984585152778024,5.1042504411,1.39556763961,5.06494718077,1.41878859043,5.1042504411,1.39556763961,5.06494718077,1.41878859043
