,gts-fo,lts-fo,rtr-fo,ssc-fo,gts-tvd,lts-tvd,rtr-tvd,ssc-tvd
t=600s,83.749,80.979,3.31,0.3187541463954003,179.49,147.96,17.57,24.642297705028334
t=1200s,357.29,350.39,1.93,3.881321355386417,560.28,521.83,6.86,18.201279123084777
t=3600s,2639.3,2057.1,22.06,32.24307031761723
